UserName,Posts,RecommendedPosts
dschuld,['How to build a machine translation system for a new language'],"['One hot encoding large dataset', 'cosine similarity between items (purchase data) and normalisation']"
NightFurry,['Stock prediction through LSTM'],['MultiVariate Regression with LSTM']
NoMorePen,['Predicting probability for each tag given already chosen tags'],['Gene innovation numbers in NEAT implementatoins']
Sandip Kumar,['training neural network'],"['What should be the ratio of True vs False cases in a binary classifier dataset?', ""Accuracy and loss don't change in CNN. Is it over-fitting?""]"
Sabrina,"['why is mse training drastically different from the begining of each training with Encoder-Decoder', 'Encoder-Decoder performance time']","['How to use Embedding() with 3D tensor in Keras?', 'How do I predict continuous value from time series data?', 'How do I build a permutation invariance neural network in keras?', 'How do I combine two electromagnetic readings to predict the position of a sensor?', 'How to use SLAM on other sensor other than camera?', 'How to predict similarity of unseen data to the training set?', 'How to make machine learning model that reports ambiguity of the input?']"
Pranav Pandey,['How to know for sure if we can learn from a given data or not?'],['Pandas: Calculating the best seller to incorporate number of houses sold']
user3711518,"['Identity covariance matrix, decorrelated data?']",['Deep Learning Model apply for prediction real values']
Ignacio Alorre,"['How does a Decision Tree handle an unknown category in a split?', 'Regression Decision Tree - Normalize or Split into Ranges a continuos feature', 'Metric to combine average with number of accurance']","['Do Clustering algorithms need feature scaling in the pre-processing stage?', 'How to model to predict hotel booking abnomality?', 'How does outlier detection work if there are multiple distribution clusters?', 'How to increase the weight when it comes to outlier detection', 'how to combine count and rate features in clustering', 't-SNE plotting DBSCAN clustering results very scattered issue']"
Adex,['Does fine-tuning of transferred layers perform better than frozen transferred layers?'],"['How to transition between offline and online learning?', 'Can TF turn a given graph into a recursive one?', 'which neural network topology to learn correlations between time series?']"
DankMasterDan,"['How to fix these vanishing gradients?', 'How to design batches in a stateful RNN', 'Using TF Dataset API to process sequences for stateful RNN', 'How do I implement masking in TensorFlow eager execution?', 'How to correctly use depthwise convolutional layers']","['One hot encoding of target space', 'How to train data by batch from disk?', 'How to fix class imbalance in training sample?', 'Homemade deep learning library: numerical issue with relu activation', 'Significant overfitting with CV', 'One hot encoding at character level with Keras', 'Replacing mean by median over batch-size to lessen the impact of outliers']"
4M01,['How to restore deleted objects in R?'],['Using dates from predicting loan']
user47,"['Usage of Precision Recall on an unbalanced dataset', 'gbm function not working']",['Extracting paragraph from a document based on Numerals']
Nain,"['Running examples from scikit-learn tutorials', 'Face Recognition using eigenfaces and SVM', 'Reshaping of data for deep learning using Keras', 'Cross Validation in Keras', 'Merging large CSV files in Pandas', 'Replacing column values in Pandas', 'String Values in a dataframe in Pandas', 'Regression in Keras', 'Error in model.fit() method in Keras', 'Parameters in GridSearchCV in scikit-learn', 'Splitting Data in scikit-learn', 'Extracting the code from Keras', 'Encoding features in sklearn', 'Using scikit-learn FeatureHasher', 'Feature Engineering', 'Word vectors as input', 'Features of word vectors in word2vec', 'Check for skewness in data', 'Plotting different values in pandas histogram with different colors', 'Plotting two pandas dataframe columns against each other', 'Cross-entropy loss explanation']","['how can I train the model to predict duplicate records in machine learning?', 'One hot encoding alternatives for large categorical values?']"
ginevracoal,"['How to reshape data for LSTM training in multivariate sequence prediction', 'LSTM sequence prediction: 3d input to 2d output', 'One-hot encode multi-class multi-label sequences', 'Keras functional API multi-input size error']","[""Why I didn't get any significant variable in my logistic model?"", 'Warning message in randomForest', 'How get an optimal Neural Network algorithm using neuralnet package in R?']"
Atinesh,"['Understanding Logistic Regression Cost function', 'How to estimate probabilities of different classes for a Text', 'How to use different classes of words in CountVectorizer()', 'Getting unexpected result while using CountVectorizer()', 'Need help with entity tagging']","['Term for Methods of Representing Repeated Text in Classifier', 'Timestamps in Ridge Regression Scikit Learn']"
Mahin,['Calculation of distance between samples in data mining'],['ML algorithm where variable importance depends upon other variables - specifying conditionality']
absolutelydevastated,"['Cost/loss functions for multi-tasking regression neural networks', 'DBSCAN - Space complexity of O(n)?']","['ReLU activation function outputs HUGE numbers', 'Vanishing Gradient in a shallow network']"
ShellRox,"['Purpose of weights in neural networks', 'How to use correct weights in linear regression model', 'Finding optimal weights for models', 'How does ""linear algebraic"" weight training function work?', 'Properly using activation functions of neural network', 'How does binary cross entropy work?', 'Differentiating roadmap of a loss function', 'Why are optimization algorithms slower at critical points?', 'Purpose of backpropagation in neural networks', 'Efficient Similarity Indexing and Searching in High Dimensions', 'How to dual encode two sentences to show similarity score', 'Spatially encoding textual data', 'What is exactly meant by neural network that can take different types of input?', 'How to make a region of interest proposal from convolutional feature maps?', 'How to train two neural networks together', 'How to project a bounding box on feature map?']",['Do you know a dataset for regression where deep learning outperforms svm and random forests?']
DavidK,['Correlations - Get values in the way we want'],['Is there a proper way of comparing weight coefficients of two logits?']
Akhilesh,"['where does kmeans store its trained model parameters in scikit learn?', 'How to build confusion matrix , when predicted value and actual value is in sentence?']","['Error when checking : expected dense_1_input to have shape (None, 5) but got array with shape (200, 1)', ""AttributeError: 'numpy.ndarray' object has no attribute 'predict'""]"
Nowroz Islam,['What should be the value of batch_size in fit() method when using sgd (Stochastic Gradient Descent) as the optimizer?'],"['How can I fit categorical data types for random forest classification?', 'Filter row depending on specific object value and delete those instances', 'SVM is not fitted when tried to fit it into a model', 'Faced problem while applying OneHotEncoder', 'How can I plot data after cluster it into two cluster?', 'How to apply ensemble clustering method?', 'Looping problem in python', 'How to collect data which exists centre or border of the cluster?', 'How to extract all information by using id', 'How to find data that is the maximum distance from cluster center or stayed border of the cluster', 'Problem to classify multilabel dataset while using random forest algorithm', 'Problem faced when collect data randomly from cluster', 'Accuracy differs between MATLAB and scikit-learn for a decision tree']"
invinc4u,['How to choose negative examples for recommendation system?'],"['Is there a standard data science epistemology?', 'Privacy through moving averages?']"
Stev,['Dealing with population instability'],"['Ordinal Integer variable vs Continuous Integer variable', 'Difference between indicator column and categorical identity column in tensorflow', 'Keras exception: ValueError: Error when checking input: expected conv2d_1_input to have shape (150, 150, 3) but got array with shape (256, 256, 3)', 'eta and learning_rate different in xgboost']"
calveeen,"['In Machine Learning, what is the point of using stratified sampling in selecting test set data?']",['Neural Network with Connections to all forward layers']
untitledprogrammer,['How to select features from text data?'],['How to handle the target variable being in the features']
DuttaA,"['How to separate overlapping curves more effectively?', 'How to encode positional information of a string in a NN effectively', 'Feature extraction from a scatter plot', 'More layers in NN give worse result', 'Extracting useful features for k-means clustering', 'Oscillating loss in CNN', 'How to find impactful words affecting classification?', 'Why is this TensorFlow CNN not generalising?', 'Design a branching CNN', 'How to tinker with CNN architectures?', 'How to predict weather?', ""How is the standard deviation of VAE's obtained?"", 'Dropout in theory VS Practical Implementation', 'Dropout in a CNN vs Dropout in a FCNN']","['TypeError: Expected binary or unicode string, got [']"
Jakubee,"['Human activity recognition using smartphone data set problem', 'How to classify and cluster this time series data']","['sklearn.neighbors.NearestNeighbors - knn for unsupervised learning?', 'Sklearn: unsupervised knn vs k-means']"
Learning is a mess,"['One hot encoding of target space', 'How to train data by batch from disk?', 'How to fix class imbalance in training sample?', 'Homemade deep learning library: numerical issue with relu activation', 'Significant overfitting with CV', 'One hot encoding at character level with Keras', 'Replacing mean by median over batch-size to lessen the impact of outliers']","['How to fix these vanishing gradients?', 'How to design batches in a stateful RNN', 'Using TF Dataset API to process sequences for stateful RNN', 'How do I implement masking in TensorFlow eager execution?', 'How to correctly use depthwise convolutional layers']"
alexT,"['Efficient dynamic clustering', 'Complete link clustering']","['Deciding Initial Weights In A Linear Classifier For Sentiment Analysis', 'Transforming words in sentences into vector form to prepare a model', 'What approach other than Tf-Idf could I use for text-clustering using K-Means?', 'How to decide the shape of input features, when each data file is of different length?', 'When does decision tree perform better than the neural network?', 'Why neural networks do not perform well on structured data?', 'Is max_depth in scikit the equivalent of pruning in decision trees?', 'Coefficient of determination is close to 1 but the value of RMSE is large. What does it mean?', 'Why the VC dimension to this linear hypothesis equal to 3?', 'How to interpret the mean for output clusters for expected-maximization?', 'Having difficult interpreting the eigenvectors for a simple 3x2 matrix']"
SRG,['Bias and variance in the model o in the predictions?'],['tensorflow tf.scatter_update over a matrix']
nnrales,['How to add a new category to a deep learning model?'],"['deepAR RNN from AWS Sagemaker - should I clean the data first?', 'Get deepAR fit() metrics to python', 'Confidence of this particual prediction', 'Heuristics, methods to speed up searches over subsets of big set (combinatorially NP hard probably)']"
Victor,"['Are there any interesting application of linear regression', 'Can all statistical algorithms be parallelized using a Map Reduce framework', 'Can Hadoop be beneficial when data is in database tables and not in a file system', 'Why do we need to use sysfunc when we call a SAS function inside a SAS macro', 'Can I use cosine similarity as a distance metric in a KNN algorithm', 'Use cases for graph algorithms and graph data structures in finance and banking', 'What do you pass for the cv parameter in the sklearn method cross_val_score', 'How does k fold cross validation work?', 'How does KNN handle categorical features', 'Is PCA considered a machine learning algorithm', 'How exactly does matrix factorization help with collaborative filtering', ""Predict next month's loan balance from historical data"", 'What is the intuition behind using Monte Carlo to solve a differential equation']",['Is this a Q-learning algorithm or just brute force?']
SantoshGupta7,"['Why does all of NLP literature use Noise contrastive estimation loss for negative sampling instead of sampled softmax loss?', 'Having trouble figuring out how loss was calculated for SQuAD task in BERT paper', 'What data formats/pipelining are best to store and wrangle data which contains both text and float vectors?', 'What would be the best data store for fast write/read of billions of float32s? SQLite? Hdf5? Other?', 'Are there any other recommended optimizers for word2vec/glove than Adagrad and SparseAdam?']",['What information is encoded in embedding vector lengths?']
keval,"['remove seasonality from weekly time series data', 'Clustering for mixed numeric and nominal discrete data', 'Ranking algorithm based on a handful of features']",['SVM with polynomial kernel: strange results with high degree?']
ice_lin,"['Does high error rate in regression imply the data set is unpredictable?', 'How to determine whether a bad performance is caused by data quality?', 'In a SVD with user/video bias, why is the UV contribute so small?']","['Data normalisation and recommendation based on skillset', 'To extract the skills required for the job given the job description', 'NLP: To remove verb and find the match in a sentence']"
BuildMyVocab,['How to determine the complexity of an English sentence?'],['Intuitive explanation of Lovasz Softmax loss for Image Segmentation problems']
Bhanuchander Udhayakumar,['What is the correct format of the test input for LSTM neural network?'],"['How do I get a count of values based on custom bucket-ranges I create for a select column in dataframe?', ""Why should re-sampling change the value of model's coefficients?"", 'Can we remove features that have zero-correlation with the target/label?', 'For text classification that has innumerable features, how do I choose the number of neurons and layers for MLPClassifier?']"
Rahul Aedula,"['Which type of regression has the best predictive power for extrapolating for smaller values?', 'Which is the best type of curve for these peaks on the waveform?', 'Which type of classification best suits this scatter plot?']",['How to optimize for time correlated hidden function - the magical candy machine']
krayyem,['sort occurrence matrix to minimize its spatial variance'],"['Need lesser memory consumption than doing sklearn.decomposition.TruncatedSVD on 99999 variables', 'How to decide what threshold to use for removing low-variance features?', 'Doing feature selection based on non-diagonalized covariance matrix vs on eigenvalues?', 'Can one build linear models on ""chunks"" of the data set, if one can\'t build them on the entire data set?', ""Why don't all feature selection methods in sklearn allow specifying desired variance explained?"", 'Is it the job of the modelling approach to consider or not consider independence/dependence of features? Or should it be known before-hand?', 'How to evaluate the ""betterness"" of competitive good models?', 'How do different models take in account independence/dependence of features?', 'How to read factor vs. factor plots?', ""What's immediate superset?"", 'Any idea to what $\\bar{X}$ refers to in association rules? Is it ""not-$X$""?', 'Are there some resources for filters specifically applicable in big data applications?', 'What does the ""randomly shuffle training samples"" in stochastic gradient descent attain?']"
Bob Gohardani,['input transformation for polynomial regression'],['Predicting change of shapes/coordinates']
4M01,['How to restore deleted objects in R?'],['Where can I find a dataset for long sequence text chunking?']
Blenz,"['Manual feature engineering based on the output', 'Supervised multiclass classification : is ANN a good idea ? or use other classifiers?', 'How to approach a machine learning problem?', 'How to correctly apply the same data transformation , used on the training dataset , on real data in a webservice?', 'What are the crucial steps for creating a recommender system using multiclass classification?', 'Can I create a good Speech Recognition Engine while having millions of recorded conversations?', 'What to use in setting up a Speech to Text engine in production?', 'Training an acoustic model for a speech-to-text engine', 'Categorical vs continuous feature selection/engineering', 'How to deal with new features values in my classification model?', 'Error-analysis and evaluation of a model using Python?', 'Neural network or other algorithms?', 'Predict_proba on a binary classification problem', 'Interpretability of RMSE and R squared scores on cross validation', ""unimportant features impact on model's performance"", 'Probability calibration is worsening my model performance', 'Target mean encoding worse than ordinal encoding with GBDT ( XGBoost, CatBoost )']","[""Model's loss weights"", 'Which convolution should I use? Conv2d or Conv1d', 'Which implementation of word2vec in keras is correct']"
Ashwin V,"['Understanding decision tree concept', 'Need help in improving accuracy of text classification using Naive Bayes in nltk for movie reviews', 'Accuracy of word and sent tokenize versus custom tokenizers in nltk']",['What is the the cost of combining categorical variables?']
Pranav Pandey,['How to know for sure if we can learn from a given data or not?'],"['Training of word weights in Word Embedding and Word2Vec', 'Why does Bagging or Boosting algorithm give better accuracy than basic Algorithms in small datasets?', 'Scaling label encoded values for Linear Algorithms', 'Knowing Feature Importance from Sparse Matrix', 'Oversampling before Cross-Validation, is it a problem?', 'PySpark v Pandas Dataframe Memory Issue']"
Pranay Mathur,"['StackOverflow Tags Predictor...Suggest an Machine Learning Approach please?', 'Passing TFIDF Feature Vector to a SGDClassifier from sklearn', 'Categorizing Customer Emails']","['I got 100% accuracy on my test set,is there something wrong?']"
Mark,"['Preprocessing data in image segmentation problem', 'Unable to understand the meaning of following lines of the research paper for image segmentation', 'What transforms do we need to apply to masks of images in segmentation tasks']",['Integration of NLP and Angular application']
Kahini Wadhawan,['How to handle Memory issues in training Word Embeddings on Large Datasets?'],['How to detect cardboard boxes using Neural Network']
Anish Tiwari,['Activation Functions'],['Explanations about ADAM Optimizer algorithm']
Gopal Kalpande,"['How to use correlation matrix when the dataset contains multiple columns with text data?', 'Are there any activation functions which on inputting integer data will produce the output as integers?', 'How to convert Hindi/Telugu/Marathi text to vector for text classification problem?']",['Basics: What is the correct sequence for preparing simple data for ML?']
Taha Magdy,['Sliding window Algorithm and its convolutional implementation'],['conv2d function in pytorch']
Pranav Pandey,['How to know for sure if we can learn from a given data or not?'],"['Can Reinforcement learning be applied for time series forecasting?', 'Apache Spark Understanding', 'Alternative to Apache Spark?', 'Deep Learning in Spark Clusters vs on GPUs?', 'Plotting in PySpark?', 'Replacing null with average in pyspark', 'Can ARIMA be applied on a dataset of few months?', 'Amazon SageMaker input data?', 'SageMaker DeepAR access data', 'Can Reinforcement learning be applied in image classification?', 'Keras neural network entirely different results on two different hardwares (one is AWS)', 'Training data : forecasted or actual?', 'Multiply weights after using dropout in training - PyTorch']"
Lorenzo Najt,"['Is there a standard data science epistemology?', 'Privacy through moving averages?']",['How to choose negative examples for recommendation system?']
Alex T,['LSTM loss function and backpropagation'],"['Training a LSTM on a time serie containing multiple inputs for each timestep', 'Group neural networks outputs using Keras/Tensorflow']"
Naveen Kumar,"['Python - Create many dummy variables from one text variable?', 'Do I discard all my dependent variables as proved by chi-squared test of independence?', 'Dealing with new outliers after capping']",['Different types of analysis which can be done with Webdata of users']
sariii,"['Found array with dim 3. Estimator expected <= 2', ""fitting classifier object of type 'int' has no len()"", 'why the accuracy of LDA model is always changing and also is high', 'which deep learning text classifier is good for health data', 'Evaluating the result of topic modeling in a way that time matters', 'Feeding machine learning model with different matrix']","['Data Cleaning for Discrete Features. Data list that contains null or N/A data', 'Hands on Machine Learning with Scikit Learn and TensorFlow Confusion Matrix with VERY BAD score']"
Mher,['Job title similarity'],"['Beginner Question Related To Data Science Course', 'Question Related Numpy']"
Hitesh,['What is ideal loss scenario for Generative adversarial networks'],"['In first visit monte carlo are we assuming the environment is the same over episodes?', 'Why is ""next state"" kept in RL experience replay?', ""Pytorch: How to create an update rule the doesn't come from derivatives?""]"
Josh,['Bad input shape; XGB'],"['How to handle missing data data in dependent variable?', 'Understanding a dataset (prior to applying ML models) with no metadata given']"
Mano,"['remove special character in a List or String', 'Python Code to find the number of hapax legomena in a Text or Words_List', 'I am getting a Type Error in this Line']",['How to identify potential customers who are ready to convert in to paid?']
Thomas Cleberg,['Saving Large Spark ML Pipeline to HDFS'],['Best Data Science & Machine Learning Conferences 2019?']
JudeLee,"['Caffe net.predict() , predict same probability']","['Why xgboost can not deal with this simple sentence case?', ""Why ELMo's word embedding can represent the word better than glove?"", 'Why and how BERT can learn different attentions for each head?', ""What's the advantage of multi-gpu training in real?"", 'What is the position embedding code?', 'What is the reason for the speedup of transformer-xl?', 'Can BERT do the next-word-predict task?', 'What is the difference between TextGAN and LM for text generation?', 'The principle of LM deep model', 'How to prepare the data for text generation task', 'Which is better: GPT or RelGAN for text generation?', ""Pytorch's pack_padded_sequence in Tensorflow?"", 'The principle and understanding of adversarial training', 'Why gpt-2 could apply to other tasks without fine-tune?', 'For text match problem, what is the different between question-question match and question-answer match?', 'What can NLI do for a chatbot?', 'Why TREC set two task: document ranking and passage ranking']"
Nicolas Cardenas,['Predict User Demographics from location based social networks'],['Training multi-label classifier with unbalanced samples in Keras']
Tendero,"['How can autoencoders be used for clustering?', 'Why use SOM for clustering?']",['Application of Deep Reinforcement Learning']
M. Fabio,['Is my data good for (DBSCAN) clustering?'],['How can i use Hellinger Distance on array of different length?']
bemzoo,"['very important features, but rarely input']","['Does adding new features that contain information derivable from current features help performance?', 'How important is it for each row of data to have the same number of features?', 'How to turn linear regression into logistical regression']"
lodo,['Real-time Time-Series Error Correction'],['Excel Data to Venn Diagram']
Jamie,['Predicting next medical condition from past conditions in claims data'],"['Will a Count vectorizer ever perform (slightly) better than tf-idf?', 'How should I treat these non-English documents in the NLP task?']"
Michał Lis,['Gradient descent multidimensional linear regression - does learning rate affects concurrency?'],['Expanding mean (target) encoding utilized by CatBoost to deal with high cardinal categorical variables?']
NoMorePen,['Predicting probability for each tag given already chosen tags'],['PCA for unsupervised feature selection']
JenSCDC,"['Why might several types of models give almost identical results?', 'Extrapolating GLM coefficients for year a product was sold into future years?']",['Optimal proportion between the amount of Class = 1 and the amount of Class = 0?']
Ahmad Raza,['using classification when there is no dataset + guidance'],"['how to extract the Top contributing labels/words in universal-sentence-encoder-large - TransformerModel?', 'Feature selection or Dimension reduction in unsupervised learning', 'Not able to sentence encode a list of sentences using multiprocessing technique - pool.map() function in python']"
Vivek Khetan,"['I want to make a text extractor for extracting particular type of text from unstructured text data.', 'How to extract NER from a Spanish language text file?']","['What are the limitations while using XGboost algorithm?', 'homogeneity of variance in logistic regression']"
MedAli,"['Dissmissing features based on correlation with target variable', 'Detecting redundancy with Pearson correlation in continuous features', 'Ensembling vs clustering in machine learning']","[""Why don't we use training/observation data's vector similarity for building models on Tabular data? or if we do , can you name some?""]"
Nain,"['Running examples from scikit-learn tutorials', 'Face Recognition using eigenfaces and SVM', 'Reshaping of data for deep learning using Keras', 'Cross Validation in Keras', 'Merging large CSV files in Pandas', 'Replacing column values in Pandas', 'String Values in a dataframe in Pandas', 'Regression in Keras', 'Error in model.fit() method in Keras', 'Parameters in GridSearchCV in scikit-learn', 'Splitting Data in scikit-learn', 'Extracting the code from Keras', 'Encoding features in sklearn', 'Using scikit-learn FeatureHasher', 'Feature Engineering', 'Word vectors as input', 'Features of word vectors in word2vec', 'Check for skewness in data', 'Plotting different values in pandas histogram with different colors', 'Plotting two pandas dataframe columns against each other', 'Cross-entropy loss explanation']",['Why do we reduce magnitude of the coefficient in regression']
Nimrodshn,"['Subset of training set produces good results while full training set produces poor results', 'How to improve an existing (trained) classifier?']","['openCV tracking algorith & Haar Cascades', 'Calculate image width', 'cv2.error: OpenCV(3.4.3) (-215:Assertion failed) !empty() in function', 'ML regression poor performance', 'Is shuffling training data beneficial for machine learning?', 'keras plotting loss and MSE', 'sklearn preprocessing MinMaxScaler', 'KerasRegressor serialize/save a model as a .h5df', 't - table and degrees of freedom']"
Sabrina,"['why is mse training drastically different from the begining of each training with Encoder-Decoder', 'Encoder-Decoder performance time']",['Regression model Giving the same prediction for all new inputs until i load the model again']
Volka,"['Combine two sets of clusters', 'Map similar like clusters in two different cluster sets', 'What is required in Affinity Propagation', 'What are the tools to plot cluster results?', 'What are real world applications of Doc2Vec?', 'Can we apply community detection algorithms for word vector space?', 'What are graph embedding?', 'Identify important less frequent words', 'Text post-processing', 'Rank terms in a bag -of-words model', 'Filter unwanted terms', 'How does Phrases in Gensim work?', 'What is LSTM, BiLSTM and when to use them?', 'Word embedding vectors for keyphrase extraction', 'Simple way to visualise word2vec vector space', 'Identify social users using graph embeddings']",['Causality analysis']
Anurag Upadhyaya,"['How to model a Bimodal distribution of target variable', 'Feature importance varying a lot using same data with same features', 'LSTM Validation MSE always lower than Train MSE', 'Long term time series forecasts with small dataset', 'Classifier Threshold', 'What are the best ways to use a time series data for binary classification', 'Combining Different Models', 'Time Series Classification using LSTM']","['Keras exception: Error when checking input: expected dense_input to have shape (2,) but got array with shape (1,)']"
Raven Cheuk,"['A model that only works by setting all initial weights to zero', 'How to get the weights of a linear model by solving normal equation?']",['Cross Entropy vs Entropy (Decision Tree)']
Mitiku,"[""Model's loss weights"", 'Which convolution should I use? Conv2d or Conv1d', 'Which implementation of word2vec in keras is correct']","['Manual feature engineering based on the output', 'Supervised multiclass classification : is ANN a good idea ? or use other classifiers?', 'How to approach a machine learning problem?', 'How to correctly apply the same data transformation , used on the training dataset , on real data in a webservice?', 'What are the crucial steps for creating a recommender system using multiclass classification?', 'Can I create a good Speech Recognition Engine while having millions of recorded conversations?', 'What to use in setting up a Speech to Text engine in production?', 'Training an acoustic model for a speech-to-text engine', 'Categorical vs continuous feature selection/engineering', 'How to deal with new features values in my classification model?', 'Error-analysis and evaluation of a model using Python?', 'Neural network or other algorithms?', 'Predict_proba on a binary classification problem', 'Interpretability of RMSE and R squared scores on cross validation', ""unimportant features impact on model's performance"", 'Probability calibration is worsening my model performance', 'Target mean encoding worse than ordinal encoding with GBDT ( XGBoost, CatBoost )']"
arush1836,"[""How to predict customer's next purchase"", 'Predicting customers purchase', 'How to solve online clustering problem', 'How to select features for Text classification problem', 'How to auto tag texts']",['How do we decide on the classification algorithm to use with huge training size?']
Mithril,"['what is the difference between ""fully developed decision trees"" and ""shallow decision trees""?', 'Add extra term weight when grouping strings by similarity?', 'What is the One Max Problem in detail?', 'What network is called high-capacity network? Why?', 'How to understand conv layer to another same conv layer in VGG16?', 'Faster-RCNN how anchor work with slider in RPN layer?', 'What is the proper train data format in LSTM?']","['Is the Apriori algorithm suitable for database tuples?', 'Confidence vs. Count in association rule mining: which one is better?']"
Atinesh,"['Understanding Logistic Regression Cost function', 'How to estimate probabilities of different classes for a Text', 'How to use different classes of words in CountVectorizer()', 'Getting unexpected result while using CountVectorizer()', 'Need help with entity tagging']",['How do I fit a curve into non linear data?']
firia2000,['Is there a rule of thumb when designing neural network in deep reinforcement learning?'],['Efficient self study plan']
Nicolas Cardenas,['Predict User Demographics from location based social networks'],"['Accuracy of the model', 'Meaning of confidence interval in seaborn barplot']"
Josh,['Bad input shape; XGB'],['Merge and Un-merge multiple models in Keras']
Raxak,['How can we show that one model might have higher accuracy than another model but at the same time lower AUC?'],['Determine learned topics in text']
Thomas Lee,"['Can feature importance change a lot between models?', 'Is correlation needed when building a model?', 'How many datasets are required in a prediction problem?']",['Getting the right architecture with dynamic feature selection']
Aditya Kadrekar,"['How to handle missing data data in dependent variable?', 'Understanding a dataset (prior to applying ML models) with no metadata given']",['Bad input shape; XGB']
PedroGonçalves,"['Best masters degree in data science and engineering in Europe', 'High Correlation between inputs of neural network']",['How does TensorFlow differentiate over Gaussian parameters?']
Michał Kardach,['Cross-validation and out-of-bag bootstrap applications'],"['My network optimises for mean_squared_error, but the predictions are useless']"
PV8,['Log and differented Arima model does not fit to actual data (prediction)'],"['Accuracy of machine learning models', ""Procedure for selecting optimal number of features with Python's Scikit-Learn""]"
Harigovind Valsakumar,"['I got 100% accuracy on my test set,is there something wrong?']",['Best OCR approach on documents with different formats to find one specific information']
APRocha,['tensorflow tf.scatter_update over a matrix'],['Bias and variance in the model o in the predictions?']
Rafty,['Using machine learning to classify text within javascript?'],['Machine Learning algorithm for detecting anomalies in large sets of events']
Wli,['predict rank from physical measurements with various lengths'],['geo spatial clustering based on another feature']
ironman,"['Flexible Discriminant Analysis', 'Why modin.pandas takes more wall time than pandas?']","['Should I load my model pkl object every time when I predict?', 'Can I update my model using partial_fit after training my model using fit?']"
Pranav Pandey,['How to know for sure if we can learn from a given data or not?'],['Why do seaborn.dist and pyplot.hist generate two different looking histograms on the same data?']
Nifras Ismail,['Calculate the overall accuracy of mined rules using apiriori algorithm'],['Data science degree or Computer Science degree?']
A.White,"['Does adding new features that contain information derivable from current features help performance?', 'How important is it for each row of data to have the same number of features?', 'How to turn linear regression into logistical regression']","['very important features, but rarely input']"
